State,e-Professionals,e-Veterans,e-Withdrawn,Passive and Uncommitted Users,Youthful Urban Fringe
Bethnal Green,29.6770153,0,0,24.7651427,45.557842
Blackwall & Cubitt Town,90.56393076,0,0,9.436069235,0
Bow East,46.77711485,0,0,15.38994247,37.83294268
Bow West,28.46903271,14.99652053,0,14.87125957,41.6631872
Bromley North,27.11376715,0,0,56.15316512,16.73306773
Bromley South,0,0,0,36.76756829,63.23243171
Canary Wharf,70.35962217,11.43166041,0,0,18.20871742
Island Gardens,72.29038855,0,0,0,27.70961145
Lansbury,0,0,23.17474483,59.99219142,16.83306375
LBTH,35.23161907,1.365899742,4.721276414,26.02491685,32.65628793
Limehouse,77.16127401,0,0,0,22.83872599
Mile End,13.37078112,0,12.20893946,46.72811945,27.69215997
Poplar,0,0,0,65.92745129,34.07254871
Shadwell,10.01557147,0,0,60.59794457,29.38648396
Spitalfields & Banglatown,36.0614171,0,0,17.05169742,46.88688548
St Dunstan's,0,0,15.12385044,27.54245821,57.33369135
St Katharine's & Wapping,77.55331089,0,0,0,22.44668911
St Peter's,37.17775468,0,18.89293139,16.66320166,27.26611227
Stepney Green,0,0,13.22356385,49.41822173,37.35821442
Weavers,33.37896864,0,0,10.60694961,56.01408175
Whitechapel,54.40134711,0,0,23.48159331,22.11705957
